location,price,features,listing_url,name,lat,long,source,rating
"Adelaide, Adelaide",511.0,"['3 guests', 'Studio', '2 beds', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/27443185?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,City studio+pool+24 hour gym+parking on request,-34.9284989,138.6007456,aribnb,4.92 (180 reviews)
"Adelaide, Adelaide",602.0,"['4 guests', '2 bedrooms', '3 beds', '2 baths', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/53369431?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,Sky-touching apartment ✔️Carpark✔️Pool✔️Views✔️Luxury,-34.9284989,138.6007456,aribnb,rating
"Thebarton, Adelaide",308.0,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Kitchen', 'Air conditioning']",https://www.airbnb.com/rooms/28164046?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,The Orange Door Apartment,-34.9141911,138.5726208,aribnb,4.78 (268 reviews)
"Rose Park, Adelaide",238.0,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/47722548?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,Cozy Appartement near city center,-34.9297794,138.6281809,aribnb,4.88 (25 reviews)
"Adelaide, Adelaide",742.0,"['2 guests', 'Studio', '1 bed', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/35320395?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,Jewel of Central⚝Sauna✔Gym✔Pool✔NBN✔Cinema✔Netflix,-34.9284989,138.6007456,aribnb,4.85 (163 reviews)
"Adelaide, Adelaide",609.0,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/33152194?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,❤Adelaide CBD❤Netflix❤WiFi❤Balcony with GREAT View,-34.9284989,138.6007456,aribnb,4.83 (54 reviews)
"Mile End, Adelaide",497.0,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/43056156?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,The Pigeon Loft,-34.9237808,138.5698304,aribnb,4.91 (54 reviews)
"Adelaide, Adelaide",770.0,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/53418816?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,Vivid on Realm ✩ RundleMall✔Pool&Gym✔EasyLifestyle,-34.9284989,138.6007456,aribnb,rating
"Adelaide, Adelaide",301.0,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning']",https://www.airbnb.com/rooms/13514203?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,Great value.In the city. Quirky& quiet.Covid safe.,-34.9284989,138.6007456,aribnb,4.70 (240 reviews)
"Adelaide, Adelaide",595.0,"['3 guests', '1 bedroom', '2 beds', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/17949415?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,Market Cottage,-34.9284989,138.6007456,aribnb,4.90 (176 reviews)
"Adelaide, Adelaide",707.0,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/30915438?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,51SQ Eco Home Adelaide city,-34.9284989,138.6007456,aribnb,5.0 (113 reviews)
"Adelaide, Adelaide",700.0,"['4 guests', '2 bedrooms', '2 beds', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/28468679?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,Cosy Quality East End Apartment,-34.9284989,138.6007456,aribnb,5.0 (25 reviews)
"Adelaide, Adelaide",434.0,"['3 guests', '1 bedroom', '2 beds', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/32323885?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,Project BNB on Waymouth ★FREE WINE★NETFLIX★WIFI★,-34.9284989,138.6007456,aribnb,4.48 (92 reviews)
"Adelaide, Adelaide",560.0,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/48216648?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,403b Studio Frome Street Apartments Included WiFi!,-34.9284989,138.6007456,aribnb,5.0 (7 reviews)
"Adelaide, Adelaide",2744.0,"['4 guests', '2 bedrooms', '2 beds', '2 baths', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/17466141?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,Renovated CBD Penthouse | Inc. Parking Pool & Gym,-34.9284989,138.6007456,aribnb,4.84 (81 reviews)
"Adelaide, Adelaide",602.0,"['3 guests', 'Studio', '1 bed', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/33003667?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,CBD Square & City View Apt With Free Parking #1,-34.9284989,138.6007456,aribnb,4.74 (44 reviews)
"Rose Park, Adelaide",399.0,"['2 guests', '1 bedroom', '1 bed', '1 private bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/22719753?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,Pool Studio Close To CBD,-34.9297794,138.6281809,aribnb,4.82 (119 reviews)
"Adelaide, Adelaide",476.0,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/21635219?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,"CBD Location with pool, gym, cinema",-34.9284989,138.6007456,aribnb,4.63 (151 reviews)
"Adelaide, Adelaide",595.0,"['2 guests', '1 bedroom', '1 bed', '1 bath', 'Free parking', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/36098113?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,CBD Square View 1-Bedroom Apt With Free Parking #2,-34.9284989,138.6007456,aribnb,4.85 (27 reviews)
"Adelaide, Adelaide",602.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/42799637?previous_page_section_name=1000&federated_search_id=05cf3b07-4983-4621-9e89-30d8c6353d23,｡◕‿◕｡Spring Taste•CityCentre✔Pool✔restaurant✔Bar✔,-34.9284989,138.6007456,aribnb,4.90 (49 reviews)
"Adelaide, Adelaide",429.42097026604074,"['2 guests', 'Studio', '1 bed', '1 bath', 'Air conditioning']",https://www.airbnb.com/rooms/48788900?previous_page_section_name=1000&federated_search_id=6c2ea906-7aba-4846-b038-47e07e1fdf09,Studio on Gouger,-34.9284989,138.6007456,aribnb,rating
"Adelaide, Adelaide",488.57589984350545,"['3 guests', 'Studio', '1 bed', '1 bath', 'Kitchen', 'Air conditioning', 'Wifi']",https://www.airbnb.com/rooms/33028634?previous_page_section_name=1000&federated_search_id=6c2ea906-7aba-4846-b038-47e07e1fdf09,Modern studio in the city+pool+24h gym,-34.9284989,138.6007456,aribnb,4.92 (13 reviews)
